
"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"311650 Claro dos Poções";520;583;729;816;687;568;573;568;540;485;422;362;295;262;223;148;137;7918
"311660 Cláudio";1845;2047;2211;2282;2411;2362;2312;2022;1809;1670;1383;1133;849;631;519;358;401;26245
"311670 Coimbra";439;557;620;554;520;569;557;484;530;499;432;350;313;217;178;155;210;7184
"311680 Coluna";711;839;988;951;856;660;688;573;562;440;414;370;306;304;230;145;153;9190
"311690 Comendador Gomes";243;230;228;224;260;294;241;204;198;257;174;125;110;85;62;46;46;3027
"311700 Comercinho";600;742;876;903;629;573;534;492;530;486;429;396;330;314;225;190;201;8450
"311710 Conceição da Aparecida";731;792;786;803;829;773;771;720;704;645;606;519;391;287;223;204;216;10000
"311520 Conceição da Barra de Minas";223;288;371;347;341;311;318;296;317;270;220;177;167;126;107;83;65;4027
"311730 Conceição das Alagoas";1947;1897;2018;2000;2414;2339;1996;1767;1598;1436;1146;920;681;479;348;267;213;23466
"311720 Conceição das Pedras";155;183;224;211;229;234;207;223;222;196;169;151;106;93;66;58;73;2800
"311740 Conceição de Ipanema";308;341;342;348;307;328;318;353;344;308;271;239;189;177;157;96;112;4538
"311750 Conceição do Mato Dentro";1386;1696;1885;1910;1479;1304;1206;1107;1087;1013;895;822;646;551;454;343;453;18237
"311760 Conceição do Pará";351;399;427;424;410;412;397;376;371;350;290;266;227;186;141;107;119;5253
"311770 Conceição do Rio Verde";968;1083;1250;1161;1044;1012;928;880;890;844;763;607;504;445;354;228;226;13187
"311780 Conceição dos Ouros";771;806;946;943;887;836;789;818;780;695;634;477;403;283;218;147;146;10579
"311783 Cônego Marinho";525;735;819;818;610;534;455;428;374;350;331;298;291;216;162;126;159;7231
"311787 Confins";375;456;555;564;492;502;529;524;426;411;329;269;175;159;120;73;86;6045
"311790 Congonhal";618;715;789;797;812;924;855;853;805;762;700;565;461;361;259;191;193;10660
"311800 Congonhas";3406;3589;4239;4491;4480;4588;4006;3499;3656;3424;3017;2214;1622;1103;870;621;586;49411
"311810 Congonhas do Norte";358;485;545;545;364;361;356;309;266;257;222;237;207;171;142;106;103;5034
"311820 Conquista";423;514;512;581;528;571;498;475;444;444;398;363;290;208;139;111;147;6646
"311830 Conselheiro Lafaiete";7591;8101;9215;9871;10890;10918;9676;8245;8351;8575;7711;6003;4480;3211;2326;1699;1790;118653
"311840 Conselheiro Pena";1607;1832;2149;2014;1775;1608;1571;1558;1506;1393;1280;1134;934;752;603;421;514;22651
"311850 Consolação";108;131;149;149;119;116;123;109;128;119;113;87;93;67;66;46;36;1759
"311860 Contagem";40969;43643;49527;51309;57367;60818;57009;48623;45111;40610;35704;27334;19932;13922;10068;6394;6191;614531
"311870 Coqueiral";582;743;892;851;755;678;620;652;622;660;609;504;377;267;278;169;201;9460
"311880 Coração de Jesus";2063;2233;2699;2720;2305;2137;1904;1663;1718;1545;1279;1109;937;774;593;397;435;26511
"311890 Cordisburgo";501;580;688;811;754;684;672;611;625;567;534;465;372;320;269;182;191;8826
"311900 Cordislândia";264;290;332;312;261;269;225;254;241;223;195;174;154;115;81;52;56;3498
"311910 Corinto";1662;1960;2231;2145;1909;1841;1703;1609;1595;1654;1488;1230;928;761;665;434;538;24353
"311920 Coroaci";634;851;1075;1048;857;796;699;686;619;585;574;455;375;401;320;230;254;10459
"311930 Coromandel";1708;1961;2273;2258;2161;2176;2126;2204;2255;2035;1770;1527;1174;907;658;417;443;28053
"311940 Coronel Fabriciano";7230;7872;8971;8924;9520;9449;8691;7645;7441;7065;6443;4947;3545;2652;2199;1448;1557;105599
"311950 Coronel Murta";647;799;917;941;797;785;643;564;538;535;501;389;307;269;248;190;215;9285
"311960 Coronel Pacheco";166;194;238;252;244;219;227;199;249;233;194;160;138;108;80;69;68;3038
"311970 Coronel Xavier Chaves";236;231;254;288;235;256;293;243;229;259;198;164;155;107;97;61;56;3362
"311980 Córrego Danta";182;257;255;254;237;224;211;246;235;272;234;210;191;168;115;89;73;3453
"311990 Córrego do Bom Jesus";185;209;273;284;268;201;269;245;272;270;268;245;248;187;160;100;115;3799
"311995 Córrego Fundo";337;436;458;476;458;550;531;453;446;422;330;286;210;172;158;96;77;5896
"312000 Córrego Novo";234;270;269;281;242;222;226;197;198;214;194;181;145;88;75;67;81;3184
"312010 Couto de Magalhães de Minas";312;333;447;471;366;304;295;288;284;259;219;173;145;122;105;79;79;4281
"312015 Crisólita";499;606;688;640;496;467;429;361;372;311;271;212;222;185;184;102;113;6158
"312020 Cristais";818;830;911;878;1020;1020;934;820;738;718;660;578;457;368;315;208;220;11493
"312030 Cristália";551;711;780;719;604;465;359;325;294;245;208;177;138;95;68;73;54;5866
"312040 Cristiano Otoni";361;440;451;459;402;411;462;333;361;317;274;242;198;132;120;71;65;5099
"312050 Cristina";648;734;874;899;874;772;773;763;762;728;605;499;450;356;264;195;202;10398
"312060 Crucilândia";291;350;386;367;344;385;345;364;384;331;288;254;215;165;145;100;130;4844
"312070 Cruzeiro da Fortaleza";320;341;373;366;322;291;275;318;299;256;204;176;130;101;92;66;76;4006
"312080 Cruzília";872;1100;1349;1388;1160;1094;956;1032;1112;1045;939;727;613;484;425;298;265;14859
"312083 Cuparaque";376;397;447;429;398;368;336;330;320;297;268;217;182;126;109;82;84;4766
"312087 Curral de Dentro";592;742;775;694;619;543;524;443;417;327;315;291;230;195;134;88;111;7040
"312090 Curvelo";5048;5962;6637;6914;6577;6209;5659;5387;5408;5043;4157;3336;2684;2117;1739;1263;1443;75583
"312100 Datas";398;470;554;589;453;368;344;343;366;318;283;204;164;148;119;92;94;5307
"312110 Delfim Moreira";494;592;804;707;610;589;526;609;642;618;491;436;302;237;184;129;147;8117
"312120 Delfinópolis";452;550;619;607;464;533;523;546;493;469;418;378;284;223;163;101;133;6956
"312125 Delta";815;707;666;720;983;904;840;614;505;376;332;248;184;147;87;53;57;8238
"312130 Descoberto";290;332;390;411;390;436;329;306;339;309;296;285;202;158;143;110;130;4856
"312140 Desterro de Entre Rios";402;462;554;603;512;511;466;507;530;522;434;380;350;303;241;186;168;7131
"312150 Desterro do Melo";171;193;240;253;223;209;237;224;231;223;205;170;145;108;83;75;80;3070
